Time_index,Hourly_USD_per_MWh
966,76.28
967,91.73
968,141.63
969,167.95
970,168.96
971,174.23
972,168.38
973,168.27
974,168.32
975,167.42
976,167.47
977,175.09
978,265.53
979,262.3
980,260.04
981,252.94
982,183
983,175.64
984,122.85
985,145.22
986,145.9
987,126.97
988,125.36
989,125.42
990,159.9
991,175.86
992,197.9
993,204.32
994,211.19
995,206.61
996,197.39
997,195.16
998,193.19
999,193.07
1000,195.22
1001,207.51
1002,249.94
1003,275.58
1004,218.5
1005,198.69
1006,195.45
1007,176.38
1008,164.74
1009,113.72
1010,108.46
1011,78.1
1012,74.68
1013,77.75
1014,110.74
1015,117.94
1016,134.02
1017,134.67
1018,138.59
1019,132.48
1020,131.9
1021,132.11
1022,132.1
1023,132.13
1024,134.07
1025,134.69
1026,176.07
1027,210.82
1028,187.45
1029,185.77
1030,163.05
1031,132.23
1032,118.56
1033,66.07
1034,64.3
1035,63.76
1036,63.74
1037,64.14
1038,65.37
1039,69.35
1040,83.92
1041,92.2
1042,89.81
1043,84.1
1044,83.65
1045,83.54
1046,79.42
1047,77.54
1048,77.09
1049,77.6
1050,114.71
1051,148.7
